Set ID,Section,Condition,Times Sold,Total Qty,Total Lots,Min Price (EUR),Avg Price (EUR),Qty Avg Price (EUR),Max Price (EUR),ScrapeTimestampUTC
4519-1,Last 6 Months Sales,New,2.0,3,,29.04,29.99,30.31,30.94,2025-10-11T14:25:40.998699
4519-1,Last 6 Months Sales,Used,1.0,1,,22.14,22.14,22.14,22.14,2025-10-11T14:25:40.998699
4519-1,Current Items for Sale,New,,66,28.0,30.0,44.82,45.48,99.99,2025-10-11T14:25:40.998699
4519-1,Current Items for Sale,Used,,7,7.0,21.61,29.73,29.73,60.0,2025-10-11T14:25:40.998699
10030-1,Last 6 Months Sales,New,4.0,4,,852.66,1121.36,1121.36,1617.38,2025-10-11T14:28:16.563095
10030-1,Last 6 Months Sales,Used,6.0,6,,315.19,367.44,367.44,449.99,2025-10-11T14:28:16.563095
10030-1,Current Items for Sale,New,,15,15.0,864.45,1420.48,1420.48,2499.0,2025-10-11T14:28:16.563095
10030-1,Current Items for Sale,Used,,39,39.0,345.78,736.93,736.93,1200.0,2025-10-11T14:28:16.563095
10143-1,Last 6 Months Sales,New,10.0,10,,263.49,945.34,945.34,2432.79,2025-10-11T14:32:06.578203
10143-1,Last 6 Months Sales,Used,17.0,17,,586.02,786.94,786.94,1022.66,2025-10-11T14:32:06.578203
10143-1,Current Items for Sale,New,,6,6.0,1728.9,2524.52,2524.52,3457.8,2025-10-11T14:32:06.578203
10143-1,Current Items for Sale,Used,,6,6.0,430.59,989.77,989.77,1556.0,2025-10-11T14:32:06.578203
10144-1,Last 6 Months Sales,New,5.0,5,,262.92,325.07,325.07,370.0,2025-10-11T14:33:50.116935
10144-1,Last 6 Months Sales,Used,11.0,11,,20.57,198.36,198.36,270.0,2025-10-11T14:33:50.116935
10144-1,Current Items for Sale,New,,44,39.0,172.03,477.13,493.94,1300.28,2025-10-11T14:33:50.116935
10144-1,Current Items for Sale,Used,,27,27.0,121.67,275.66,275.66,1331.24,2025-10-11T14:33:50.116935
6211-1,Last 6 Months Sales,New,2.0,2,,357.77,368.5,368.5,379.22,2025-10-11T14:35:16.576115
6211-1,Last 6 Months Sales,Used,30.0,30,,65.0,134.7,134.7,183.81,2025-10-11T14:35:16.576115
6211-1,Current Items for Sale,New,,28,24.0,308.0,437.99,443.69,605.12,2025-10-11T14:35:16.576115
6211-1,Current Items for Sale,Used,,60,57.0,60.51,187.72,190.55,475.45,2025-10-11T14:35:16.576115
7783-1,Last 6 Months Sales,New,2.0,2,,702.48,702.48,702.48,702.48,2025-10-11T14:37:24.930372
7783-1,Last 6 Months Sales,Used,21.0,21,,137.3,386.91,386.91,704.71,2025-10-11T14:37:24.930372
7783-1,Current Items for Sale,New,,9,9.0,649.0,839.45,839.45,1123.78,2025-10-11T14:37:24.930372
7783-1,Current Items for Sale,Used,,11,11.0,155.59,396.17,396.17,500.0,2025-10-11T14:37:24.930372
8285-1,Last 6 Months Sales,New,0.0,0,,,,,,2025-10-11T14:38:46.418014
8285-1,Last 6 Months Sales,Used,4.0,4,,125.0,131.12,131.12,144.0,2025-10-11T14:38:46.418014
8285-1,Current Items for Sale,New,,12,11.0,348.19,487.41,484.3,769.0,2025-10-11T14:38:46.418014
8285-1,Current Items for Sale,Used,,68,67.0,90.0,212.29,211.23,713.17,2025-10-11T14:38:46.418014
8289-1,Last 6 Months Sales,New,3.0,3,,112.06,121.22,121.22,130.0,2025-10-11T14:40:00.690668
8289-1,Last 6 Months Sales,Used,1.0,1,,72.95,72.95,72.95,72.95,2025-10-11T14:40:00.690668
8289-1,Current Items for Sale,New,,9,7.0,103.73,137.31,135.0,210.0,2025-10-11T14:40:00.690668
8289-1,Current Items for Sale,Used,,22,22.0,39.0,74.57,74.57,149.0,2025-10-11T14:40:00.690668
8674-1,Last 6 Months Sales,New,0.0,0,,,,,,2025-10-11T14:41:48.904473
8674-1,Last 6 Months Sales,Used,1.0,1,,236.62,236.62,236.62,236.62,2025-10-11T14:41:48.904473
8674-1,Current Items for Sale,New,,13,6.0,8.0,654.75,732.93,900.0,2025-10-11T14:41:48.904473
8674-1,Current Items for Sale,Used,,7,7.0,198.0,220.58,220.58,285.27,2025-10-11T14:41:48.904473
10174-1,Last 6 Months Sales,New,7.0,7,,283.05,449.63,449.63,750.0,2025-10-11T14:43:04.921175
10174-1,Last 6 Months Sales,Used,14.0,14,,54.79,167.05,167.05,383.13,2025-10-11T14:43:04.921175
10174-1,Current Items for Sale,New,,20,20.0,366.58,591.99,591.99,999.99,2025-10-11T14:43:04.921175
10174-1,Current Items for Sale,Used,,46,46.0,86.44,219.94,219.94,400.73,2025-10-11T14:43:04.921175
10175-1,Last 6 Months Sales,New,1.0,1,,761.9,761.9,761.9,761.9,2025-10-11T14:44:49.957730
10175-1,Last 6 Months Sales,Used,9.0,9,,255.63,387.79,387.79,749.99,2025-10-11T14:44:49.957730
10175-1,Current Items for Sale,New,,17,17.0,759.96,1253.92,1253.92,1999.99,2025-10-11T14:44:49.957730
10175-1,Current Items for Sale,Used,,29,29.0,191.62,546.46,546.46,1790.0,2025-10-11T14:44:49.957730
10177-1,Last 6 Months Sales,New,3.0,3,,332.73,418.37,418.37,472.39,2025-10-11T14:46:49.058617
10177-1,Last 6 Months Sales,Used,0.0,0,,,,,,2025-10-11T14:46:49.058617
10177-1,Current Items for Sale,New,,21,15.0,254.65,629.88,792.77,1200.0,2025-10-11T14:46:49.058617
10177-1,Current Items for Sale,Used,,15,15.0,210.0,298.69,298.69,495.0,2025-10-11T14:46:49.058617
8145-1,Last 6 Months Sales,New,0.0,0,,,,,,2025-10-11T14:48:51.276233
8145-1,Last 6 Months Sales,Used,2.0,2,,157.24,165.49,165.49,173.73,2025-10-11T14:48:51.276233
8145-1,Current Items for Sale,New,,7,7.0,475.0,676.03,676.03,932.7,2025-10-11T14:48:51.276233
8145-1,Current Items for Sale,Used,,19,18.0,129.67,231.35,231.57,420.0,2025-10-11T14:48:51.276233
4954-1,Last 6 Months Sales,New,2.0,2,,152.0,176.7,176.7,201.39,2025-10-11T14:50:42.843889
4954-1,Last 6 Months Sales,Used,6.0,6,,96.96,114.77,114.77,139.0,2025-10-11T14:50:42.843889
4954-1,Current Items for Sale,New,,6,6.0,197.09,258.41,258.41,308.65,2025-10-11T14:50:42.843889
4954-1,Current Items for Sale,Used,,33,31.0,34.57,142.28,144.84,269.0,2025-10-11T14:50:42.843889
4957-1,Last 6 Months Sales,New,1.0,1,,180.0,180.0,180.0,180.0,2025-10-11T14:52:14.291301
4957-1,Last 6 Months Sales,Used,3.0,3,,46.75,55.27,55.27,63.37,2025-10-11T14:52:14.291301
4957-1,Current Items for Sale,New,,10,10.0,159.92,237.54,237.54,424.0,2025-10-11T14:52:14.291301
4957-1,Current Items for Sale,Used,,35,34.0,56.19,108.36,110.12,249.0,2025-10-11T14:52:14.291301
7662-1,Last 6 Months Sales,New,4.0,4,,672.26,945.21,945.21,1163.58,2025-10-11T14:53:49.468281
7662-1,Last 6 Months Sales,Used,44.0,44,,129.96,272.81,272.81,424.95,2025-10-11T14:53:49.468281
7662-1,Current Items for Sale,New,,13,13.0,933.64,1209.14,1209.14,1599.23,2025-10-11T14:53:49.468281
7662-1,Current Items for Sale,Used,,30,29.0,237.96,404.74,406.36,918.59,2025-10-11T14:53:49.468281
8108-1,Last 6 Months Sales,New,1.0,1,,271.95,271.95,271.95,271.95,2025-10-11T14:55:45.331438
8108-1,Last 6 Months Sales,Used,7.0,7,,71.72,110.46,110.46,198.23,2025-10-11T14:55:45.331438
8108-1,Current Items for Sale,New,,65,6.0,8.64,252.45,51.25,366.53,2025-10-11T14:55:45.331438
8108-1,Current Items for Sale,Used,,12,12.0,95.05,140.72,140.72,178.29,2025-10-11T14:55:45.331438
8274-1,Last 6 Months Sales,New,0.0,0,,,,,,2025-10-11T14:56:59.176142
8274-1,Last 6 Months Sales,Used,2.0,2,,95.99,97.45,97.45,98.91,2025-10-11T14:56:59.176142
8274-1,Current Items for Sale,New,,7,5.0,261.28,392.52,359.56,649.99,2025-10-11T14:56:59.176142
8274-1,Current Items for Sale,Used,,17,17.0,76.57,112.24,112.24,179.95,2025-10-11T14:56:59.176142
8275-1,Last 6 Months Sales,New,2.0,2,,361.77,425.33,425.33,488.9,2025-10-11T14:59:05.925589
8275-1,Last 6 Months Sales,Used,10.0,10,,92.39,160.84,160.84,302.34,2025-10-11T14:59:05.925589
8275-1,Current Items for Sale,New,,27,23.0,130.0,537.41,530.38,794.0,2025-10-11T14:59:05.925589
8275-1,Current Items for Sale,Used,,64,61.0,102.18,201.51,201.1,645.0,2025-10-11T14:59:05.925589
10178-1,Last 6 Months Sales,New,3.0,3,,245.0,503.24,503.24,838.9,2025-10-11T15:00:43.448051
10178-1,Last 6 Months Sales,Used,17.0,17,,136.54,174.85,174.85,224.35,2025-10-11T15:00:43.448051
10178-1,Current Items for Sale,New,,24,22.0,399.73,560.1,556.69,907.67,2025-10-11T15:00:43.448051
10178-1,Current Items for Sale,Used,,51,49.0,154.14,256.33,255.64,562.58,2025-10-11T15:00:43.448051
10179-1,Last 6 Months Sales,New,4.0,4,,1145.77,1404.51,1404.51,1500.0,2025-10-11T15:02:17.854742
10179-1,Last 6 Months Sales,Used,8.0,8,,429.08,760.52,760.52,1312.55,2025-10-11T15:02:17.854742
10179-1,Current Items for Sale,New,,40,37.0,1500.0,3015.98,2935.54,7866.5,2025-10-11T15:02:17.854742
10179-1,Current Items for Sale,Used,,21,21.0,678.24,1429.83,1429.83,2750.0,2025-10-11T15:02:17.854742
10181-1,Last 6 Months Sales,New,2.0,3,,750.0,862.68,825.12,975.36,2025-10-11T15:03:57.332937
10181-1,Last 6 Months Sales,Used,4.0,4,,196.51,360.46,360.46,568.98,2025-10-11T15:03:57.332937
10181-1,Current Items for Sale,New,,16,15.0,778.0,1541.29,1601.2,3025.58,2025-10-11T15:03:57.332937
10181-1,Current Items for Sale,Used,,43,42.0,190.18,436.4,442.63,1099.0,2025-10-11T15:03:57.332937
10182-1,Last 6 Months Sales,New,9.0,9,,600.0,1674.36,1674.36,2700.0,2025-10-11T15:05:38.308852
10182-1,Last 6 Months Sales,Used,27.0,27,,270.91,667.58,667.58,1057.92,2025-10-11T15:05:38.308852
10182-1,Current Items for Sale,New,,15,12.0,115.0,2278.59,2029.26,3750.0,2025-10-11T15:05:38.308852
10182-1,Current Items for Sale,Used,,44,41.0,89.0,960.85,955.11,2136.55,2025-10-11T15:05:38.308852
10190-1,Last 6 Months Sales,New,3.0,3,,1342.63,2038.03,2038.03,2550.0,2025-10-11T15:07:31.192199
10190-1,Last 6 Months Sales,Used,20.0,20,,171.96,479.79,479.79,700.0,2025-10-11T15:07:31.192199
10190-1,Current Items for Sale,New,,7,7.0,2798.11,3693.49,3693.49,4996.63,2025-10-11T15:07:31.192199
10190-1,Current Items for Sale,Used,,23,23.0,389.0,962.99,962.99,3458.66,2025-10-11T15:07:31.192199
4997-1,Last 6 Months Sales,New,1.0,1,,250.0,250.0,250.0,250.0,2025-10-11T15:08:51.678864
4997-1,Last 6 Months Sales,Used,3.0,3,,51.09,60.16,60.16,70.0,2025-10-11T15:08:51.678864
4997-1,Current Items for Sale,New,,7,7.0,123.32,210.61,210.61,344.23,2025-10-11T15:08:51.678864
4997-1,Current Items for Sale,Used,,32,32.0,2.0,88.61,88.61,199.0,2025-10-11T15:08:51.678864
7676-1,Last 6 Months Sales,New,7.0,7,,516.96,682.59,682.59,747.18,2025-10-11T15:10:56.881352
7676-1,Last 6 Months Sales,Used,35.0,35,,46.2,225.24,225.24,375.0,2025-10-11T15:10:56.881352
7676-1,Current Items for Sale,New,,17,11.0,582.94,787.65,818.48,1294.95,2025-10-11T15:10:56.881352
7676-1,Current Items for Sale,Used,,40,38.0,133.3,275.15,278.5,863.59,2025-10-11T15:10:56.881352
8154-1,Last 6 Months Sales,New,0.0,0,,,,,,2025-10-11T15:12:50.079032
8154-1,Last 6 Months Sales,Used,0.0,0,,,,,,2025-10-11T15:12:50.079032
